confidence,description,domainelement_pk,frequency,id,jsondata,markup_description,name,pk,valueset_pk
,,147,,30A-abk,{},,,22066,22066
,,145,,30A-aco,{},,,22067,22067
,,145,,30A-ain,{},,,22068,22068
,,146,,30A-agw,{},,,22069,22069
,,146,,30A-ala,{},,,22070,22070
,,145,,30A-ale,{},,,22071,22071
,,145,,30A-ame,{},,,22072,22072
,,146,,30A-amh,{},,,22073,22073
,,146,,30A-apu,{},,,22074,22074
,,145,,30A-abn,{},,,22075,22075
,,146,,30A-aeg,{},,,22120,22120
,,146,,30A-arg,{},,,22137,22137
,,146,,30A-asy,{},,,22272,22272
,,149,,30A-arp,{},,,22089,22089
,,146,,30A-abo,{},,,22076,22076
,,148,,30A-arc,{},,,22077,22077
,,145,,30A-arm,{},,,22078,22078
,,145,,30A-asm,{},,,22079,22079
,,145,,30A-awp,{},,,22080,22080
,,149,,30A-bab,{},,,22081,22081
,,145,,30A-bag,{},,,22082,22082
,,147,,30A-brs,{},,,22083,22083
,,145,,30A-bsq,{},,,22084,22084
,,145,,30A-bkr,{},,,22167,22167
,,145,,30A-baw,{},,,22085,22085
,,146,,30A-bys,{},,,22086,22086
,,146,,30A-bej,{},,,22087,22087
,,146,,30A-bma,{},,,22276,22276
,,148,,30A-bbw,{},,,22214,22214
,,145,,30A-brh,{},,,22088,22088
,,145,,30A-brm,{},,,22090,22090
,,148,,30A-bur,{},,,22091,22091
,,145,,30A-cah,{},,,22092,22092
,,146,,30A-cax,{},,,22094,22094
,,145,,30A-ckr,{},,,22095,22095
,,145,,30A-cnt,{},,,22096,22096
,,145,,30A-car,{},,,22097,22097
,,145,,30A-cyv,{},,,22098,22098
,,145,,30A-cha,{},,,22102,22102
,,149,,30A-cic,{},,,22103,22103
,,145,,30A-chi,{},,,22104,22104
,,146,,30A-cle,{},,,22193,22193
,,145,,30A-chk,{},,,22105,22105
,,145,,30A-chv,{},,,22106,22106
,,145,,30A-ccp,{},,,57979,57979
,,145,,30A-cmn,{},,,22108,22108
,,145,,30A-coo,{},,,22140,22140
,,146,,30A-cre,{},,,22110,22110
,,145,,30A-dag,{},,,22111,22111
,,145,,30A-dni,{},,,22198,22198
,,147,,30A-def,{},,,22112,22112
,,149,,30A-dio,{},,,22113,22113
,,146,,30A-diy,{},,,22114,22114
,,146,,30A-diz,{},,,22115,22115
,,145,,30A-djr,{},,,22116,22116
,,145,,30A-don,{},,,22117,22117
,,148,,30A-dyi,{},,,22119,22119
,,147,,30A-eng,{},,,22121,22121
,,145,,30A-epe,{},,,22122,22122
,,145,,30A-err,{},,,22265,22265
,,145,,30A-eve,{},,,22123,22123
,,145,,30A-ewe,{},,,22124,22124
,,145,,30A-fij,{},,,22125,22125
,,145,,30A-fin,{},,,22126,22126
,,146,,30A-fre,{},,,22127,22127
,,149,,30A-fgu,{},,,22128,22128
,,146,,30A-gae,{},,,22259,22259
,,145,,30A-geo,{},,,22129,22129
,,147,,30A-ger,{},,,22130,22130
,,148,,30A-gdi,{},,,22131,22131
,,147,,30A-god,{},,,22132,22132
,,145,,30A-goo,{},,,22133,22133
,,147,,30A-grb,{},,,22134,22134
,,147,,30A-grk,{},,,22135,22135
,,145,,30A-grw,{},,,22304,22304
,,145,,30A-gua,{},,,22136,22136
,,145,,30A-guu,{},,,22138,22138
,,145,,30A-hai,{},,,22139,22139
,,145,,30A-hat,{},,,22142,22142
,,146,,30A-hau,{},,,22143,22143
,,145,,30A-haw,{},,,22144,22144
,,145,,30A-hay,{},,,22145,22145
,,146,,30A-heb,{},,,22146,22146
,,146,,30A-hin,{},,,22147,22147
,,146,,30A-hix,{},,,22148,22148
,,145,,30A-hmo,{},,,22149,22149
,,145,,30A-hun,{},,,22150,22150
,,149,,30A-hzb,{},,,22151,22151
,,145,,30A-iaa,{},,,22152,22152
,,147,,30A-ice,{},,,22153,22153
,,145,,30A-igb,{},,,22154,22154
,,145,,30A-ika,{},,,22155,22155
,,145,,30A-imo,{},,,22157,22157
,,145,,30A-ind,{},,,22158,22158
,,149,,30A-ing,{},,,22159,22159
,,146,,30A-irq,{},,,22160,22160
,,145,,30A-ite,{},,,22161,22161
,,145,,30A-jaq,{},,,22162,22162
,,149,,30A-juh,{},,,22065,22065
,,145,,30A-kam,{},,,22164,22164
,,147,,30A-knd,{},,,22165,22165
,,145,,30A-knr,{},,,22166,22166
,,145,,30A-krk,{},,,22168,22168
,,146,,30A-kas,{},,,22169,22169
,,145,,30A-kay,{},,,22170,22170
,,147,,30A-ket,{},,,22171,22171
,,145,,30A-kew,{},,,22172,22172
,,145,,30A-khk,{},,,22306,22306
,,145,,30A-khl,{},,,22100,22100
,,145,,30A-kha,{},,,22173,22173
,,146,,30A-khs,{},,,22174,22174
,,145,,30A-khm,{},,,22093,22093
,,146,,30A-kmu,{},,,22175,22175
,,147,,30A-kho,{},,,22223,22223
,,145,,30A-klv,{},,,22176,22176
,,145,,30A-kgz,{},,,22178,22178
,,149,,30A-kis,{},,,22179,22179
,,145,,30A-koa,{},,,22180,22180
,,145,,30A-kob,{},,,22181,22181
,,146,,30A-kol,{},,,22182,22182
,,149,,30A-kon,{},,,22183,22183
,,147,,30A-kfe,{},,,22184,22184
,,145,,30A-kse,{},,,22185,22185
,,145,,30A-kut,{},,,22186,22186
,,145,,30A-lad,{},,,22187,22187
,,145,,30A-lah,{},,,22188,22188
,,148,,30A-lak,{},,,22189,22189
,,145,,30A-lan,{},,,22190,22190
,,146,,30A-lat,{},,,22191,22191
,,147,,30A-lav,{},,,22192,22192
,,146,,30A-lel,{},,,22194,22194
,,145,,30A-lep,{},,,22195,22195
,,145,,30A-lez,{},,,22196,22196
,,149,,30A-lin,{},,,22197,22197
,,149,,30A-luv,{},,,22199,22199
,,146,,30A-mac,{},,,22200,22200
,,145,,30A-mak,{},,,22201,22201
,,145,,30A-mal,{},,,22202,22202
,,146,,30A-mlt,{},,,22203,22203
,,145,,30A-mnd,{},,,22204,22204
,,147,,30A-myi,{},,,22205,22205
,,145,,30A-mns,{},,,22298,22298
,,145,,30A-mao,{},,,22206,22206
,,145,,30A-map,{},,,22207,22207
,,147,,30A-mhi,{},,,22208,22208
,,145,,30A-mny,{},,,22209,22209
,,145,,30A-mar,{},,,22210,22210
,,148,,30A-mrd,{},,,22211,22211
,,145,,30A-mrt,{},,,22212,22212
,,149,,30A-mau,{},,,22213,22213
,,146,,30A-may,{},,,22215,22215
,,145,,30A-mei,{},,,22216,22216
,,145,,30A-mss,{},,,22266,22266
,,149,,30A-mxc,{},,,22101,22101
,,146,,30A-miy,{},,,22218,22218
,,145,,30A-mok,{},,,22219,22219
,,146,,30A-mos,{},,,22220,22220
,,146,,30A-mun,{},,,22221,22221
,,145,,30A-mrl,{},,,22222,22222
,,145,,30A-nht,{},,,22278,22278
,,145,,30A-ndy,{},,,22224,22224
,,145,,30A-nen,{},,,22225,22225
,,145,,30A-nez,{},,,22226,22226
,,149,,30A-ngg,{},,,22227,22227
,,145,,30A-ngi,{},,,22228,22228
,,147,,30A-nca,{},,,22229,22229
,,145,,30A-niv,{},,,22230,22230
,,149,,30A-nko,{},,,22231,22231
,,145,,30A-nbd,{},,,22118,22118
,,149,,30A-nug,{},,,22232,22232
,,149,,30A-nym,{},,,22177,22177
,,149,,30A-nyh,{},,,22233,22233
,,146,,30A-oji,{},,,22234,22234
,,147,,30A-ond,{},,,22235,22235
,,145,,30A-ork,{},,,22236,22236
,,146,,30A-orh,{},,,22141,22141
,,145,,30A-otm,{},,,22237,22237
,,145,,30A-pai,{},,,22238,22238
,,145,,30A-pal,{},,,22239,22239
,,146,,30A-pan,{},,,22249,22249
,,146,,30A-psh,{},,,22240,22240
,,146,,30A-psm,{},,,22241,22241
,,148,,30A-pau,{},,,22242,22242
,,145,,30A-prs,{},,,22243,22243
,,145,,30A-pil,{},,,22244,22244
,,145,,30A-pip,{},,,22245,22245
,,148,,30A-prh,{},,,22246,22246
,,145,,30A-pit,{},,,22247,22247
,,146,,30A-ppi,{},,,22248,22248
,,145,,30A-pmc,{},,,22099,22099
,,146,,30A-qaf,{},,,22250,22250
,,145,,30A-qim,{},,,22156,22156
,,145,,30A-ram,{},,,22251,22251
,,145,,30A-rap,{},,,22252,22252
,,146,,30A-ren,{},,,22253,22253
,,147,,30A-ret,{},,,22254,22254
,,147,,30A-rus,{},,,22255,22255
,,145,,30A-smt,{},,,22256,22256
,,145,,30A-san,{},,,22257,22257
,,145,,30A-saw,{},,,22258,22258
,,145,,30A-sml,{},,,22260,22260
,,147,,30A-snc,{},,,22261,22261
,,145,,30A-snt,{},,,22262,22262
,,145,,30A-shk,{},,,22263,22263
,,149,,30A-shn,{},,,22264,22264
,,145,,30A-srn,{},,,22267,22267
,,146,,30A-spa,{},,,22268,22268
,,145,,30A-sue,{},,,22269,22269
,,149,,30A-sup,{},,,22270,22270
,,149,,30A-swa,{},,,22271,22271
,,145,,30A-tab,{},,,22273,22273
,,146,,30A-tag,{},,,22274,22274
,,146,,30A-tap,{},,,22275,22275
,,147,,30A-tml,{},,,22277,22277
,,145,,30A-tha,{},,,22279,22279
,,145,,30A-tho,{},,,22280,22280
,,145,,30A-tib,{},,,22281,22281
,,147,,30A-tid,{},,,22282,22282
,,146,,30A-tgr,{},,,22283,22283
,,146,,30A-tiw,{},,,22284,22284
,,145,,30A-tol,{},,,22163,22163
,,145,,30A-tot,{},,,22217,22217
,,148,,30A-tsz,{},,,22285,22285
,,145,,30A-tsi,{},,,22107,22107
,,145,,30A-tuk,{},,,22286,22286
,,145,,30A-tsh,{},,,22287,22287
,,146,,30A-tun,{},,,22288,22288
,,145,,30A-tur,{},,,22289,22289
,,145,,30A-tvl,{},,,22290,22290
,,147,,30A-ukr,{},,,22291,22291
,,145,,30A-una,{},,,22292,22292
,,145,,30A-uhi,{},,,22293,22293
,,145,,30A-urk,{},,,22294,22294
,,145,,30A-usa,{},,,22295,22295
,,145,,30A-uzb,{},,,22296,22296
,,145,,30A-vie,{},,,22297,22297
,,148,,30A-wam,{},,,22299,22299
,,145,,30A-wra,{},,,22300,22300
,,147,,30A-wrd,{},,,22301,22301
,,147,,30A-war,{},,,22302,22302
,,145,,30A-wat,{},,,22303,22303
,,145,,30A-wic,{},,,22305,22305
,,145,,30A-ykt,{},,,22307,22307
,,145,,30A-yaq,{},,,22308,22308
,,146,,30A-yaz,{},,,22309,22309
,,145,,30A-yel,{},,,22310,22310
,,145,,30A-yid,{},,,22311,22311
,,149,,30A-yim,{},,,22312,22312
,,145,,30A-yor,{},,,22313,22313
,,145,,30A-yko,{},,,22314,22314
,,145,,30A-ylb,{},,,22315,22315
,,145,,30A-ypk,{},,,22316,22316
,,145,,30A-yur,{},,,22317,22317
,,148,,30A-zan,{},,,22318,22318
,,145,,30A-zqc,{},,,22109,22109
,,149,,30A-zul,{},,,22319,22319
,,145,,30A-zun,{},,,22320,22320
